X,Y,Z,u',v'
0,0,3.4,1487.91687,1439.352051
0,3.5,3.4,1496.512207,1332.785767
0,7,3.4,1499.702271,1226.104004
0,10.5,3.4,1506.373901,1116.905029
0,14,3.4,1509.834106,1006.582153
0,17.5,3.4,1515.864624,893.6439819
0,21,3.4,1523.136597,778.3807983
0,24.5,3.4,1529.381592,660.4837646
0,28,3.4,1535.419678,539.6607056
0,31.5,3.4,1542.670288,416.6223755
0,0,6.9,1405.666382,1459.983276
0,3.5,6.9,1410.8927,1350.391846
0,7,6.9,1415.563354,1238.04541
0,10.5,6.9,1420.618896,1124.016357
0,14,6.9,1425.868286,1008.545776
0,17.5,6.9,1431.781128,890.3988037
0,21,6.9,1436.87793,768.8043213
0,24.5,6.9,1443.721436,645.7706909
0,28,6.9,1449.273071,518.7959595
0,31.5,6.9,1455.396729,389.8377991
0,0,10.4,1315.681885,1483.109497
0,3.5,10.4,1320.375,1368.821533
0,7,10.4,1323.819214,1251.364136
0,10.5,10.4,1329.216187,1131.604736
0,14,10.4,1334.264282,1010.578491
0,17.5,10.4,1338.57251,886.2390747
0,21,10.4,1343.899658,758.9235229
0,24.5,10.4,1348.420776,629.5897827
0,28,10.4,1353.479004,496.4251404
0,31.5,10.4,1359.014771,359.8475647
0,0,13.9,1217.702759,1508.859741
0,3.5,13.9,1220.642944,1387.809814
0,7,13.9,1223.911621,1265.641357
0,10.5,13.9,1227.882935,1139.672607
0,14,13.9,1232.216797,1012.322388
0,17.5,13.9,1236.27832,881.6931763
0,21,13.9,1240.428833,747.8778687
0,24.5,13.9,1244.089233,611.2159424
0,28,13.9,1248.620728,470.9698486
0,31.5,13.9,1253.45105,327.2868652
0,0,17.4,1108.519043,1537.266235
0,3.5,17.4,1110.454224,1410.529053
0,7,17.4,1113.418823,1281.202148
0,10.5,17.4,1115.783447,1149.401733
0,14,17.4,1119.435913,1014.172119
0,17.5,17.4,1121.511475,876.7255249
0,21,17.4,1124.424072,735.7932739
0,24.5,17.4,1128.030273,590.7536621
0,28,17.4,1131.444092,442.2697754
0,31.5,17.4,1134.569458,289.944397
0,0,20.9,987.0687256,1568.896851
0,3.5,20.9,987.7528076,1435.070435
0,7,20.9,989.1325684,1298.334473
0,10.5,20.9,991.7446289,1159.438965
0,14,20.9,993.7294922,1016.705383
0,17.5,20.9,994.5292358,870.8789673
0,21,20.9,996.4765015,721.4384155
0,24.5,20.9,997.6193237,567.6490479
0,28,20.9,998.8453979,410.2209778
0,31.5,20.9,1001.317383,248.4061279
0,0,24.4,851.3460693,1603.74231
0,3.5,24.4,850.9650269,1462.484863
0,7,24.4,850.9875488,1318.743774
0,10.5,24.4,851.3718872,1170.582153
0,14,24.4,851.1461792,1019.681885
