X,Y,Z,u',v'
0,0,3.4,1375.618652,1380.853027
0,3.5,3.4,1381.49231,1276.146484
0,7,3.4,1381.191772,1169.360962
0,10.5,3.4,1384.343628,1060.417358
0,14,3.4,1387.615845,949.1022339
0,17.5,3.4,1390.548706,835.3249512
0,21,3.4,1394.23877,718.3823853
0,24.5,3.4,1397.816284,599.0916748
0,28,3.4,1400.913574,477.5298157
0,31.5,3.4,1404.190308,352.6989746
0,0,6.9,1289.57605,1402.921631
0,3.5,6.9,1291.590454,1293.502441
0,7,6.9,1293.481689,1182.685425
0,10.5,6.9,1295.498779,1068.4646
0,14,6.9,1298.130127,951.8932495
0,17.5,6.9,1300.563721,832.8147583
0,21,6.9,1302.552124,710.3059692
0,24.5,6.9,1305.576172,585.1372681
0,28,6.9,1308.383667,457.4229126
0,31.5,6.9,1311.106934,326.7359619
0,0,10.4,1195.291504,1427.443848
0,3.5,10.4,1196.671265,1313.62085
0,7,10.4,1196.700806,1196.59375
0,10.5,10.4,1198.748779,1077.429321
0,14,10.4,1199.759766,954.7102051
0,17.5,10.4,1201.141602,829.1889648
0,21,10.4,1202.677002,701.6799316
0,24.5,10.4,1203.913208,570.3914185
0,28,10.4,1205.561279,435.2279968
0,31.5,10.4,1207.686523,298.0660095
0,0,13.9,1091.628662,1453.963013
0,3.5,13.9,1091.030884,1333.804199
0,7,13.9,1091.738892,1212.355469
0,10.5,13.9,1091.697632,1086.870483
0,14,13.9,1091.591553,958.0165405
0,17.5,13.9,1092.190552,826.2860718
0,21,13.9,1091.445801,691.4724121
0,24.5,13.9,1092.383057,553.5117798
0,28,13.9,1093.037231,411.0912476
0,31.5,13.9,1092.88501,266.0022583
0,0,17.4,977.4744873,1482.481567
0,3.5,17.4,975.8635864,1357.142578
0,7,17.4,974.3137817,1228.619629
0,10.5,17.4,972.9996948,1097.287354
0,14,17.4,972.3277588,961.7897339
0,17.5,17.4,970.8129883,822.2657471
0,21,17.4,968.8710938,680.7227173
0,24.5,17.4,967.5946045,534.1561279
0,28,17.4,967.1654053,384.1154175
0,31.5,17.4,965.6271973,230.5523834
0,0,20.9,849.8652954,1513.861572
0,3.5,20.9,846.3925171,1382.359863
0,7,20.9,844.0342407,1246.75354
0,10.5,20.9,840.7980347,1108.59668
0,14,20.9,837.9783936,965.4680176
0,17.5,20.9,835.6453247,818.0615234
0,21,20.9,832.631958,667.3478394
0,24.5,20.9,829.574707,512.5826416
0,28,20.9,826.0935059,354.1559143
0,31.5,20.9,824.0944214,191.2517853
0,0,24.4,709.1451416,1549.058228
0,3.5,24.4,703.2788086,1410.182983
0,7,24.4,698.1231079,1267.138916
0,10.5,24.4,693.4608765,1120.24707
0,14,24.4,688.1046143,968.491394
0,17.5,24.4,683.0488281,813.538208
0,21,24.4,678.5122681,653.3113403
0,24.5,24.4,672.9145508,488.6628113
0,28,24.4,668.5496216,319.8378906
0,31.5,24.4,664.7878418,147.7670135
3.4,0,0,1523.208252,1387.564941
3.4,3.5,0,1527.84082,1283.206909
3.4,7,0,1532.535278,1175.38562
3.4,10.5,0,1537.043091,1065.992065
3.4,14,0,1541.828491,954.8926392
