X,Y,Z,u',v'
0,0,3.4,1822.716431,1616.636963
0,3.5,3.4,1825.632446,1488.608643
0,7,3.4,1829.053833,1356.775391
0,10.5,3.4,1832.440063,1222.293945
0,14,3.4,1836.078857,1085.198975
0,17.5,3.4,1839.482788,944.8464355
0,21,3.4,1843.687622,801.1555786
0,24.5,3.4,1847.244873,654.4819946
0,28,3.4,1850.898926,504.6223145
0,31.5,3.4,1854.54126,352.3669128
0,0,6.9,1724.481812,1652.832397
0,3.5,6.9,1726.200195,1522.259888
0,7,6.9,1728.689941,1388.41394
0,10.5,6.9,1731.160278,1251.295654
0,14,6.9,1733.543579,1110.866943
0,17.5,6.9,1736.153442,967.2501831
0,21,6.9,1738.589844,820.9904785
0,24.5,6.9,1741.130737,671.5031738
0,28,6.9,1743.93457,518.1366577
0,31.5,6.9,1746.263062,362.3743286
0,0,10.4,1621.993164,1690.948364
0,3.5,10.4,1622.416504,1557.316895
0,7,10.4,1623.390869,1421.026123
0,10.5,10.4,1624.607056,1281.28479
0,14,10.4,1625.581787,1137.905273
0,17.5,10.4,1626.753418,991.6889648
0,21,10.4,1628.230713,841.9766235
0,24.5,10.4,1629.844482,689.0441895
0,28,10.4,1631.325684,532.7014771
0,31.5,10.4,1632.394531,372.9436951
0,0,13.9,1515.053101,1730.23938
0,3.5,13.9,1514.279541,1594.368408
0,7,13.9,1513.385498,1454.837769
0,10.5,13.9,1513.482178,1312.068726
0,14,13.9,1513.445313,1166.530762
0,17.5,13.9,1513.455566,1016.900574
0,21,13.9,1513.154907,864.2701416
0,24.5,13.9,1513.263184,707.6502075
0,28,13.9,1513.247803,547.4385376
0,31.5,13.9,1513.374146,383.6707458
0,0,17.4,1402.226074,1770.768555
0,3.5,17.4,1400.914551,1632.866211
0,7,17.4,1399.16394,1490.810425
0,10.5,17.4,1397.173706,1345.455811
0,14,17.4,1395.907104,1196.198364
0,17.5,17.4,1394.271484,1043.521118
0,21,17.4,1392.70166,887.1890869
0,24.5,17.4,1391.079834,726.5036011
0,28,17.4,1389.328735,563.4561157
0,31.5,17.4,1387.788696,395.6401672
0,0,20.9,1285.596191,1813.711792
0,3.5,20.9,1282.133301,1673.320923
0,7,20.9,1278.467651,1528.296875
0,10.5,20.9,1275.798462,1379.774536
0,14,20.9,1272.616943,1227.709106
0,17.5,20.9,1269.408936,1071.657349
0,21,20.9,1266.516235,911.6143799
0,24.5,20.9,1262.745972,748.0296021
0,28,20.9,1259.545532,580.1485596
0,31.5,20.9,1255.701782,408.4301453
0,0,24.4,1162.734741,1858.612549
0,3.5,24.4,1157.778076,1715.022095
0,7,24.4,1152.450928,1567.428589
0,10.5,24.4,1147.671387,1415.667725
0,14,24.4,1142.602539,1260.189819
0,17.5,24.4,1137.408936,1100.59021
0,21,24.4,1133.27063,936.8889771
0,24.5,24.4,1127.244141,769.5774536
0,28,24.4,1122.348999,598.0244751
0,31.5,24.4,1117.212402,421.9449158
3.4,0,0,2009.107788,1622.751953
3.4,3.5,0,2014.929077,1493.278198
3.4,7,0,2020.968872,1361.935547
3.4,10.5,0,2026.843628,1227.482544
3.4,14,0,2032.436279,1089.456421
3.4,17.5,0,2038.459839,949.0274658
3.4,21,0,2044.12085,805.362793
3.4,24.5,0,2049.875977,658.4354248
3.4,28,0,2056.495605,509.0395813
3.4,31.5,0,2061.805664,356.3593445
6.9,0,0,2111.956543,1663.63147
6.9,3.5,0,2118.834717,1532.508667
6.9,7,0,2125.797119,1397.969849
6.9,10.5,0,2133.086426,1260.69104
6.9,14,0,2140.462646,1120.568604
6.9,17.5,0,2147.672607,976.3049927
6.9,21,0,2154.883545,830.0352173
6.9,24.5,0,2161.941895,679.9509888
6.9,28,0,2169.780273,527.3245239
6.9,31.5,0,2176.733643,370.8729553
10.4,0,0,2218.640625,1706.557129
10.4,3.5,0,2226.596436,1572.811401
10.4,7,0,2236.151611,1435.932739
10.4,10.5,0,2244.5896,1295.857422
10.4,14,0,2253.822266,1152.505005
10.4,17.5,0,2262.201172,1005.95929
10.4,21,0,2270.860107,855.9945679
10.4,24.5,0,2279.668457,702.2957764
10.4,28,0,2289.013184,546.3217773
10.4,31.5,0,2297.77417,386.1685181
13.9,0,0,2330.428467,1751.366211
13.9,3.5,0,2340.277832,1615.1521
13.9,7,0,2350.807129,1475.374512
13.9,10.5,0,2360.92627,1332.425903
13.9,14,0,2371.301758,1186.397095
13.9,17.5,0,2381.787354,1037.24707
13.9,21,0,2392.303711,883.2319946
13.9,24.5,0,2402.679688,726.3969116
13.9,28,0,2413.37915,566.522644
13.9,31.5,0,2423.984863,402.5788879
17.4,0,0,2446.981201,1797.507568
17.4,3.5,0,2459.440186,1659.2677
17.4,7,0,2471.128418,1516.983765
17.4,10.5,0,2482.936523,1370.601318
17.4,14,0,2494.975586,1221.296265
17.4,17.5,0,2507.435303,1068.445068
17.4,21,0,2519.681152,911.7799072
17.4,24.5,0,2532.202637,751.6943359
17.4,28,0,2543.919189,588.0767212
17.4,31.5,0,2557.122803,419.8243408
20.9,0,0,2568.957275,1846.316895
20.9,3.5,0,2582.541504,1705.042114
20.9,7,0,2596.879883,1559.545044
20.9,10.5,0,2610.817871,1411.015381
20.9,14,0,2624.792969,1258.361572
20.9,17.5,0,2639.231201,1102.323486
20.9,21,0,2653.382568,942.4094238
20.9,24.5,0,2667.399414,778.012146
20.9,28,0,2682.014893,610.2775879
20.9,31.5,0,2696.67627,438.299469
24.4,0,0,2696.765381,1896.816284
24.4,3.5,0,2712.652344,1753.12793
24.4,7,0,2728.615234,1605.416992
24.4,10.5,0,2744.463135,1453.505981
24.4,14,0,2761.209473,1297.421997
24.4,17.5,0,2777.592529,1137.681396
24.4,21,0,2793.710449,974.4401855
24.4,24.5,0,2810.433105,806.3696289
24.4,28,0,2826.869141,634.1032715
24.4,31.5,0,2843.725098,458.1895752
