X,Y,Z,u',v'
0,0,3.4,1690.376465,1604.494507
0,3.5,3.4,1690.581543,1475.93689
0,7,3.4,1691.055054,1345.082886
0,10.5,3.4,1691.380371,1210.613892
0,14,3.4,1692.210938,1073.368286
0,17.5,3.4,1692.769531,933.6539307
0,21,3.4,1693.351318,790.6278687
0,24.5,3.4,1693.828369,644.6062012
0,28,3.4,1694.182617,495.7932739
0,31.5,3.4,1694.497925,344.1139832
0,0,6.9,1585.637695,1640.292969
0,3.5,6.9,1584.600708,1509.769043
0,7,6.9,1583.990112,1376.095947
0,10.5,6.9,1583.453857,1239.191772
0,14,6.9,1582.815552,1099.275513
0,17.5,6.9,1581.927856,956.6191406
0,21,6.9,1581.571655,810.3462524
0,24.5,6.9,1580.518433,661.6644287
0,28,6.9,1580.003052,509.9935303
0,31.5,6.9,1578.622681,354.1476135
0,0,10.4,1476.667725,1678.259644
0,3.5,10.4,1474.577026,1544.751953
0,7,10.4,1472.159668,1408.47522
0,10.5,10.4,1469.936768,1269.079834
0,14,10.4,1467.758545,1126.653564
0,17.5,10.4,1465.81189,980.7540894
0,21,10.4,1463.716919,831.7973633
0,24.5,10.4,1461.488647,679.6291504
0,28,10.4,1459.35144,524.1479492
0,31.5,10.4,1457.220825,365.1463623
0,0,13.9,1363.598877,1717.358154
0,3.5,13.9,1359.571533,1581.365967
0,7,13.9,1355.361328,1442.514771
0,10.5,13.9,1351.590332,1300.47937
0,14,13.9,1348.21106,1154.797607
0,17.5,13.9,1344.78125,1005.511719
0,21,13.9,1341.380981,853.5928345
0,24.5,13.9,1337.261841,698.2609253
0,28,13.9,1334.075928,539.2728271
0,31.5,13.9,1330.022827,376.7593384
0,0,17.4,1244.428955,1757.541504
0,3.5,17.4,1239.342163,1619.666992
0,7,17.4,1233.824951,1478.137329
0,10.5,17.4,1228.477173,1332.789917
0,14,17.4,1223.308472,1184.789917
0,17.5,17.4,1218.024414,1032.376831
0,21,17.4,1212.822266,876.9086304
0,24.5,17.4,1207.361816,717.7678833
0,28,17.4,1201.866699,555.2086182
0,31.5,17.4,1196.506226,388.7339478
0,0,20.9,1120.336548,1799.951416
